LDGS_NM,CTPRVN_NM,GUGUN_NM,LDGS_ADDR,PET_INFO_CN
녹스 부티크 호텔,서울,강남구,서울 강남구 테헤란로37길 13-13,['반려동물 동반 불가']
트리아 호텔,서울,강남구,서울 강남구 테헤란로33길 16,['반려동물 동반 불가']
파크 하얏트 서울,서울,강남구,서울 강남구 테헤란로 606,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
베스트 웨스턴 프리미어 강남,서울,강남구,서울 강남구 봉은사로 139,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
서울 렉스 호텔,서울,강남구,서울 강남구 강남대로 588,['반려동물 동반 불가']
이비스 스타일 앰배서더 서울 강남,서울,강남구,서울 강남구 삼성로 431,['반려동물 동반 불가']
오크우드 프리미어 코엑스센터,인천,연수구,인천 연수구 컨벤시아대로 165,"['반려동물 동반 가능(반려견과 반려묘만 허용, 객실당 2마리, 1마리당 최대 10 kg)*', '장애인 안내 동물 동반 가능', '제한 사항 적용*']"
"인터컨티넨탈 서울 코엑스, IHG 호텔",서울,강남구,서울 강남구 봉은사로 524,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
라비타 호텔,서울,강남구,서울 강남구 영동대로 712,['반려동물 동반 불가']
노보텔 앰배서더 강남,서울,강남구,서울 강남구 봉은사로 130,['반려동물 동반 불가']
호텔 프리마,서울,강남구,서울 강남구 도산대로 536,['반려동물 동반 불가']
"그랜드 인터컨티넨탈 서울 파르나스, IHG 호텔",서울,강남구,서울 강남구 테헤란로 521,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔 삼정,서울,강남구,서울 강남구 봉은사로 150,['반려동물 동반 불가']
호텔 리비에라 - 어른 전용,서울,강남구,서울 강남구 영동대로 737,['반려동물 동반 불가']
울진 그랜드호텔,경북,울진군,경북 울진군 울진읍 현내항길 97,['반려동물 동반 불가']
덕구 온천 리조트 호텔,경북,울진군,경북 울진군 북면 덕구온천로 924,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
센트로 관광 호텔,경북,칠곡군,경북 칠곡군 왜관읍 중앙로 152-3,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
가야 호텔,경북,성주군,경북 성주군 수륜면 가야산식물원길 52,['반려동물 동반 불가']
주왕산 온천 관광 호텔,경북,청송군,경북 청송군 청송읍 중앙로 315,['반려동물 동반 불가']
호텔 금오산,경북,구미시,경북 구미시 금오산로 433-3,['반려동물 동반 불가']
구미 센츄리 호텔,경북,구미시,경북 구미시 3공단1로 296,['반려동물 동반 불가']
안동 씨엠 파크 호텔,경북,안동시,경북 안동시 풍천면 검무로 10-17,['반려동물 동반 불가']
김천파크관광호텔,경북,김천시,경북 김천시 대항면 황학동길 35-23,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
경주 키즈&가족호텔,경북,경주시,경북 경주시 영불로 248,['반려동물 동반 불가']
경주 노벰버 키즈앤스파,경북,경주시,경북 경주시 감포읍 감포로 226-4,['반려동물 동반 불가']
호스텔 다현,경북,경주시,경북 경주시 원화로340번길 12,['반려동물 동반 불가']
아리수경주 호텔,경북,경주시,경북 경주시 영불로 207,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
스위트 호텔 경주,경북,경주시,경북 경주시 보문로 280-12,['반려동물 동반 불가']
코모도호텔 경주,경북,경주시,경북 경주시 보문로 422,['반려동물 동반 불가']
코오롱 호텔,경북,경주시,경북 경주시 불국로 289-17,['반려동물 동반 불가']
라한셀렉트 경주,경북,경주시,경북 경주시 보문로 338,['반려동물 동반 불가']
포항 호텔뷰,충남,천안시,충남 천안시 서북구 부대중앙길 17,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
포항 윈호텔,경북,포항시,경북 포항시 북구 해안로 89,['반려동물 동반 불가']
베니키아 호텔 포항,경북,포항시,경북 포항시 남구 중앙로 128,['반려동물 동반 불가']
코모도 호텔 포항,경북,포항시,경북 포항시 남구 송도로 71,['반려동물 동반 불가']
칸 호텔,대구,달성군,대구 달성군 구지면 달성2차동1로 141,['반려동물 동반 불가']
엘리시아호텔,대구,달서구,대구 달서구 갈밭남로 45,['반려동물 동반 불가']
아리아나 호텔,대구,수성구,대구 수성구 동대구로 27,['반려동물 동반 불가']
호텔 수성,대구,수성구,대구 수성구 용학로 106-7,['반려동물 동반 불가']
호텔라온제나,대구,수성구,대구 수성구 범어천로 73,['반려동물 동반 불가']
호텔 인터 불고,대구,수성구,대구 수성구 팔현길 212,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔 인터불고 엑스코,대구,북구,대구 북구 유통단지로 80,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔 앙코르,대구,동구,대구 동구 이노밸리로 7,['반려동물 동반 불가']
아마레 호텔,대구,동구,대구 동구 율암로 156-15,['반려동물 동반 불가']
인스타호텔,대구,동구,대구 동구 율암로 164,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
팔공에밀리아호텔,대구,동구,대구 동구 팔공산로 1121,['반려동물 동반 불가']
퀸벨호텔&웨딩,대구,동구,대구 동구 동촌로 200,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
리버틴 호텔,대구,중구,대구 중구 경상감영길 193,['반려동물 동반 불가']
대구 동성로 노블스테이,대구,중구,대구 중구 국채보상로123길 23,['반려동물 동반 불가']
토요코인대구동성로,대구,중구,대구 중구 동성로1길 15,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
엘디스 리젠트 호텔,대구,중구,대구 중구 달구벌대로 2033,['반려동물 동반 불가']
광주 투어리스트 호텔,광주,북구,광주 북구 서하로183번길 56,['반려동물 동반 불가']
엠파이어 관광 호텔,광주,광산구,광주 광산구 임방울대로800번길 25,['반려동물 동반 불가']
브라운도트 광주 상무점,광주,서구,광주 서구 상무중앙로38번길 5-8,['반려동물 동반 불가']
"홀리데이 인 광주, IHG 호텔",광주,서구,광주 서구 상무누리로 55,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
라마다 플라자 광주,광주,서구,광주 서구 상무자유로 149,['반려동물 동반 불가']
광주호텔 벤틀리 관광호텔 충장점,광주,동구,광주 동구 서석로10번길 5,['반려동물 동반 불가']
ACC 디자인 호텔,광주,동구,광주 동구 금남로 226-11,['반려동물 동반 불가']
라마다 앙코르 해운대,부산,해운대구,부산 해운대구 구남로 9,['반려동물 동반 불가']
엘시티 레지던스,부산,해운대구,부산 해운대구 달맞이길 30,['반려동물 동반 불가']
그랜드 엘시티 레지던스,부산,해운대구,부산 해운대구 달맞이길 30,['반려동물 동반 불가']
플레아 드 블랑,부산,해운대구,부산 해운대구 해운대해변로298번길 29,['반려동물 동반 불가']
호텔 더 마크 해운대,부산,해운대구,부산 해운대구 해운대해변로298번길 29,['반려동물 동반 불가']
평택항 코업스테이호텔,경기,평택시,경기 평택시 포승읍 평택항로184번길 3-5,"['반려동물 동반 가능(반려견만 허용, 1마리당 최대 9 kg)*']"
웨스턴베이마리나호텔,경기,평택시,경기 평택시 포승읍 평택항로184번길 3-21,['반려동물 동반 불가']
라마다동탄호텔,경기,화성시,경기 화성시 노작로 199,['반려동물 동반 불가']
제이원호텔,충북,청주시,충북 청주시 청원구 오창읍 중부로 806,['반려동물 동반 불가']
세종시티 오송호텔,충북,청주시,충북 청주시 흥덕구 오송읍 오송생명로 178,['반려동물 동반 불가']
오송 에이치(H)호텔세종시티,충북,청주시,충북 청주시 흥덕구 오송읍 오송생명로 178,['반려동물 동반 불가']
라한호텔 포항,경북,포항시,경북 포항시 북구 삼호로265번길 1,['반려동물 동반 불가']
골든튤립 에센셜 남강,경남,진주시,경남 진주시 남강로673번길 16,['반려동물 동반 불가']
진주 라온스테이 인 페를라,경남,진주시,경남 진주시 영천강로 164,['반려동물 동반 가능*']
라마다 스위트 거제 호텔,경남,거제시,경남 거제시 일운면 거제대로 2631,['반려동물 동반 불가']
인터내셔널호텔인천영종,인천,중구,인천 중구 은하수로29번길 47,['반려동물 동반 불가']
라마다 송도 호텔,인천,연수구,인천 연수구 능허대로267번길 29,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
라마다인천호텔,인천,남동구,인천 남동구 소래역로 36,['반려동물 동반 불가']
영종도 에어스카이 호텔,인천,중구,인천 중구 백운로228번길 188-33,"['반려동물 동반 가능(반려견만 허용, 객실당 2마리, 1마리당 최대 10 kg)*', '장애인 안내 동물 동반 가능', '특정 객실만, 제한 사항 적용*', '반려동물 감독 필수', '먹이/물 그릇 이용 가능']"
하워드 존슨 호텔 인천 에어포트,인천,중구,인천 중구 신도시남로142번길 6,['반려동물 동반 불가']
웨스턴 그레이스 호텔,경기,고양시,경기 고양시 일산동구 중앙로 1322,['반려동물 동반 불가']
라마다 호텔 앤 스위트 서울 남대문,서울,중구,서울 중구 칠패로 27,"['반려동물 동반 가능(반려견만 허용, 객실당 2마리, 1마리당 최대 10 kg)*', '장애인 안내 동물 동반 가능', '제한 사항 적용*', '반려동물 감독 필수']"
밀리오레 호텔 서울 명동,서울,중구,서울 중구 퇴계로 115,['반려동물 동반 불가']
더베네치아스위트,강원,춘천시,강원 춘천시 효자로 136,['반려동물 동반 불가']
스카이베이 호텔 경포,강원,강릉시,강원 강릉시 해안로 476,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
라마다 호텔 & 스위트 바이 윈덤 강원 평창,서울,중구,서울 중구 칠패로 27,"['반려동물 동반 무료(반려견만 허용, 객실당 1마리, 1마리당 최대 20 kg)', '장애인 안내 동물 동반 가능', '특정 객실만, 제한 사항 적용*', '반려동물 감독 필수', '먹이/물 그릇 이용 가능']"
호텔 피코,경남,통영시,경남 통영시 항남4길 19,['반려동물 동반 불가']
브릿지호텔,경남,통영시,경남 통영시 용남면 남해안대로 18,['반려동물 동반 불가']
통영비치캐슬호텔 앤 리조트,경남,통영시,경남 통영시 평인일주로 486,['반려동물 동반 불가']
통영거북선호텔,경남,통영시,경남 통영시 미수해안로 72,['반려동물 동반 불가']
통영 라베르호텔,경남,통영시,경남 통영시 도남로 257-21,['반려동물 동반 불가']
클럽이에스 통영리조트,경남,통영시,경남 통영시 산양읍 척포길 628-113,"['반려동물 동반 가능(반려견만 허용, 객실당 1마리, 1마리당 최대 15 kg)*', '특정 객실만, 제한 사항 적용*', '반려동물 감독 필수', '먹이/물 그릇 이용 가능']"
브룩스 호텔,경남,통영시,경남 통영시 통영해안로 407,['반려동물 동반 불가']
포르투나호텔,경남,통영시,경남 통영시 미수해안로 152,['반려동물 동반 불가']
스탠포드 호텔앤리조트 통영,경남,통영시,경남 통영시 도남로 347,['반려동물 동반 불가']
한산마리나호텔&리조트,경남,통영시,경남 통영시 산양읍 삼칭이해안길 820,['반려동물 동반 불가']
동경호텔,경남,통영시,경남 통영시 광도면 죽림5로 43,['반려동물 동반 가능(반려견과 반려묘만 허용)*']
통영 갤러리 호텔,경남,통영시,경남 통영시 도남로 257-27,['반려동물 동반 불가']
통영 엔쵸비 관광호텔,경남,통영시,경남 통영시 동호로 56,['반려동물 동반 불가']
통영관광호텔,경남,통영시,경남 통영시 항북길 12-9,['반려동물 동반 불가']
호텔 동방,경남,진주시,경남 진주시 논개길 103,['반려동물 동반 불가']
진주 카이호텔,경남,진주시,경남 진주시 정촌면 화개천로 132-14,['반려동물 동반 불가']
리츠 호스텔,경남,창원시,경남 창원시 성산구 용지로 64,['반려동물 동반 불가']
창원 북면 누와즈컬리넌,경남,창원시,경남 창원시 의창구 북면 천주로1173번길 42,['반려동물 동반 불가']
여우비호텔,경남,진주시,경남 진주시 비봉로54번길 5,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔 라움,전남,순천시,전남 순천시 하풍동길 1-1,['반려동물 동반 불가']
비즈관광호텔,경남,창원시,경남 창원시 진해구 진해대로 2116,['반려동물 동반 불가']
창원 진해 용원 브라운도트 호텔,경남,창원시,경남 창원시 진해구 용원동로221번길 60-7,['반려동물 동반 불가']
아모르호텔,경남,창원시,경남 창원시 마산합포구 수산1길 3,"['반려동물 동반 가능(반려견과 반려묘만 허용, 객실당 2마리, 1마리당 최대 15 kg)*', '특정 객실만, 제한 사항 적용*', '반려동물 감독 필수']"
마산 아몬드호텔,경남,창원시,경남 창원시 마산합포구 월영동11길 19,['반려동물 동반 불가']
호텔 사과나무,경남,창원시,경남 창원시 마산합포구 가포신항북로 16,['반려동물 동반 불가']
스카이뷰관광호텔,경남,창원시,경남 창원시 마산합포구 해안대로 317,['반려동물 동반 불가']
마산관광호텔,경남,창원시,경남 창원시 마산합포구 수산1길 285,['반려동물 동반 불가']
베스트 루이스 해밀턴 호텔 창원,경남,창원시,경남 창원시 성산구 마디미로70번길 10,['반려동물 동반 불가']
올림픽 호텔,경남,창원시,경남 창원시 성산구 중앙대로 81,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔 인터내셔널,경남,창원시,경남 창원시 성산구 중앙대로 69,['반려동물 동반 불가']
그랜드 머큐어 앰배서더 창원,경남,창원시,경남 창원시 성산구 원이대로 332,['반려동물 동반 불가']
크라운호텔 창원,서울,용산구,서울 용산구 녹사평대로 140,['반려동물 동반 불가']
더 제이드 호텔,제주,제주시,제주특별자치도 제주시 관덕로15길 7-1,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
메르블루 제주,경기,시흥시,경기 시흥시 서해안로 1032-12,['반려동물 동반 불가']
호텔 나비스,제주,제주시,제주특별자치도 제주시 애월읍 애월해안로 885,['반려동물 동반 불가']
라인호텔,제주,제주시,제주특별자치도 제주시 동광로 40,['반려동물 동반 불가']
호텔 메이저 2,제주,제주시,제주특별자치도 제주시 은남4길 40,['반려동물 동반 불가']
물뜰에쉼팡 리조트,제주,제주시,제주특별자치도 제주시 한림읍 귀덕로 73,['반려동물 동반 불가']
노형호텔,제주,제주시,제주특별자치도 제주시 수덕1길 7,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
삼다호스텔,제주,제주시,제주특별자치도 제주시 서해안로 456-6,['반려동물 동반 불가']
흰수염고래 리조트,제주,제주시,제주특별자치도 제주시 애월읍 일주서로 6818,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
리벤시아 풀빌라 호텔,제주,제주시,제주 제주시 한림읍 한림로 33,['반려동물 동반 불가']
나이스캣호텔앤게스트하우스,제주,제주시,제주특별자치도 제주시 논세길 96-38,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
씨스테이 호텔&스파,강원,양양군,강원 양양군 강현면 물치3길 6,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
자몽호텔,제주,제주시,제주 제주시 한림읍 한림해안로 136,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
썬비치 리조트,제주,제주시,제주특별자치도 제주시 서해안로 114,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
환상적인 바다 전망의 시드니 호텔,제주,제주시,제주특별자치도 제주시 애월읍 애월해안로 945,['반려동물 동반 불가']
노벨리조트펜션,제주,제주시,제주특별자치도 제주시 서해안로 122,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
레드클레이,제주,제주시,제주특별자치도 제주시 애월읍 신상로 266,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
나디아펜션,제주,제주시,제주특별자치도 제주시 애월읍 애원로 74,['반려동물 동반 불가']
우림호텔,제주,제주시,제주 제주시 애월읍 애월해안로 917,['반려동물 동반 불가']
엠버 리조트,제주,제주시,제주특별자치도 제주시 1100로 2671-51,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
비스타 뷰 리조트,제주,제주시,제주특별자치도 제주시 서해안로 74,['반려동물 동반 불가']
더비치펜션,제주,제주시,제주특별자치도 제주시 서해안로 486-4,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
예그리나리조트,제주,제주시,제주특별자치도 제주시 구좌읍 일주동로 1845,['반려동물 동반 불가']
해밀리조트,제주,제주시,제주특별자치도 제주시 애월읍 광상로 272,"['반려동물 동반 가능*', '제한 사항 적용*']"
하모니 리조트,제주,제주시,제주특별자치도 제주시 한림읍 협재로 213,['반려동물 동반 불가']
오렌지트리 호텔 & 카페,제주,제주시,제주 제주시 관덕로8길 7-12,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
레브 호텔 제주,제주,제주시,제주특별자치도 제주시 은남1길 15,['반려동물 동반 불가']
조이황토리조트,제주,제주시,제주 제주시 애월읍 신상로 268,['반려동물 동반 불가']
에덴 호스텔,제주,제주시,제주특별자치도 제주시 서해안로 456-12,['반려동물 동반 불가']
엠제이호텔,제주,제주시,제주특별자치도 제주시 신광로4길 16,['반려동물 동반 불가']
스완지,제주,제주시,제주특별자치도 제주시 서해안로 84,['반려동물 동반 불가']
씨클리프호텔제주,제주,제주시,제주 제주시 애월읍 애월해안로 554-8,['반려동물 동반 불가']
카이리조트,제주,제주시,제주 제주시 한림읍 협재2길 10,['반려동물 동반 불가']
아마스빌 호스텔,제주,제주시,제주특별자치도 제주시 애월읍 신엄안3길 101,['반려동물 동반 불가']
통나무파크호텔,제주,제주시,제주특별자치도 제주시 애월읍 도치돌길 293,['반려동물 동반 불가']
블루스프링 부티크 호텔,제주,제주시,제주특별자치도 제주시 한림읍 한림로 330,['반려동물 동반 불가']
스카이 호텔,제주,제주시,제주특별자치도 제주시 한림읍 한림로 917,['반려동물 동반 불가']
샐리스제주,제주,제주시,제주특별자치도 제주시 애월읍 고내로 46,['반려동물 동반 불가']
도르가관광호스텔,경남,통영시,경남 통영시 새터길 74-9,['반려동물 동반 불가']
YAJA 호텔 통영 페리 터미널 지점,경남,통영시,경남 통영시 동충2길 9,['반려동물 동반 불가']
그란데호스텔,경남,통영시,경남 통영시 진남아랫길 10,['반려동물 동반 불가']
조각의 집,서울,서초구,서울 서초구 사임당로14길 42,['반려동물 동반 불가']
호텔피어48,경남,통영시,경남 통영시 정동3길 48,['반려동물 동반 불가']
사천온천랜드 앤 그랜드관광호텔,경남,사천시,경남 사천시 용현면 청골길 126,['반려동물 동반 불가']
파인 그로브 호텔,경남,김해시,경남 김해시 번화1로67번길 20,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
아이스퀘어호텔,경남,김해시,경남 김해시 김해대로 2360,['반려동물 동반 불가']
밀양 밀양 관광호텔,경남,밀양시,경남 밀양시 가곡7길 5-1,['반려동물 동반 불가']
Hotel Arina,경남,밀양시,경남 밀양시 삼문강변로 82,['반려동물 동반 불가']
삼성 호텔 거제,경남,거제시,경남 거제시 장평3로 80-37,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔 상상,경남,거제시,경남 거제시 일운면 거제대로 2752,['반려동물 동반 불가']
거제도 장승포 더럭스 관광호텔,경남,거제시,경남 거제시 장승포로 93-1,['반려동물 동반 불가']
호텔리베라 거제,경남,거제시,경남 거제시 일운면 거제대로 2190,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
도야 가족 호텔,경남,거제시,경남 거제시 일운면 거제대로 2244,['반려동물 동반 불가']
거제오션호텔,경남,거제시,경남 거제시 옥포로2길 13,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
거제돔관광호텔,경남,거제시,경남 거제시 일운면 거제대로 2372,['반려동물 동반 불가']
호텔 스테이온,제주,서귀포시,제주특별자치도 서귀포시 성산읍 일주동로 4186,['반려동물 동반 불가']
거제 아르누보 스위트 호텔,경남,거제시,경남 거제시 장평1로 13,['반려동물 동반 불가']
홈포레스트 리조트,경남,거제시,경남 거제시 국산로 24-25,"['반려동물 동반 무료(객실당 2마리, 1마리당 최대 15 kg)', '특정 객실만*', '반려동물 감독 필수']"
호텔 메종드거제,경남,거제시,경남 거제시 능포로 114,['반려동물 동반 불가']
베니키아 양산 호텔,경남,양산시,경남 양산시 동면 금오10길 51,['반려동물 동반 불가']
창녕 부곡 스파디움 따오기호텔,경남,창녕군,경남 창녕군 부곡면 온천중앙로 42,['반려동물 동반 불가']
오션스파호텔,경남,고성군,경남 고성군 고성읍 신월로 60,['반려동물 동반 불가']
남해스포츠파크호텔,경남,남해군,경남 남해군 서면 스포츠파크길 73,['반려동물 동반 불가']
라피스 호텔,경남,남해군,경남 남해군 창선면 서부로 1503-16,['반려동물 동반 불가']
산청한방가족호텔,경남,산청군,경남 산청군 금서면 동의보감로479번길 43,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
잠실(방이) 호텔 더 캐슬,서울,송파구,서울 송파구 올림픽로32길 7,['반려동물 동반 불가']
Songpa Boutique Hotel XYM,서울,송파구,서울 송파구 송이로 104,['반려동물 동반 불가']
신천 호텔 더 캐슬,서울,송파구,서울 송파구 올림픽로12길 4-17,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
오라카이 청계산 호텔,서울,서초구,서울 서초구 청계산로9길 1-7,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
신라스테이 서초,서울,서초구,서울 서초구 효령로 427,['반려동물 동반 불가']
호텔 페이토 강남,서울,서초구,서울 서초구 강남대로 259,"['반려동물 동반 무료(반려견만 허용)', '장애인 안내 동물 동반 가능']"
프로비스타 호텔,서울,서초구,서울 서초구 서초대로 338,['반려동물 동반 불가']
유원호텔,서울,서초구,서울 서초구 반포대로12길 29,['반려동물 동반 불가']
소설호텔,충남,공주시,충남 공주시 반포면 임금봉길 77-14,['반려동물 동반 불가']
리버사이드 호텔,서울,서초구,서울 서초구 강남대로107길 6,['반려동물 동반 불가']
더 케이 호텔 서울,서울,서초구,서울 서초구 바우뫼로12길 70,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
"Hotel Clio, a Luxury Collection Hotel, Denver Cherry Creek",서울,서초구,서울 서초구 신반포로 176,"['반려동물 동반 가능(반려견만 허용)*', '장애인 안내 동물 동반 가능', '특정 객실만*', '먹이/물 그릇 이용 가능']"
씨에스프리미어호텔서울,서울,관악구,서울 관악구 남부순환로 1458,['반려동물 동반 불가']
WD 호텔,서울,관악구,서울 관악구 신림로 349,['반려동물 동반 불가']
뜨랑 블루,서울,관악구,서울 관악구 신림동7길 52,['반려동물 동반 불가']
어반 호텔 & 골프,서울,관악구,서울 관악구 난곡로64길 5,['반려동물 동반 불가']
신림 신트라,서울,관악구,서울 관악구 신림로66길 16,['반려동물 동반 불가']
신림 나이스타임,서울,관악구,서울 관악구 신림로64길 28,['반려동물 동반 불가']
핸드픽트호텔,서울,동작구,서울 동작구 상도로 120,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
신라스테이 구로,서울,동작구,서울 동작구 시흥대로 596,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
토요코인 서울영등포,서울,영등포구,서울 영등포구 신길로 293,['반려동물 동반 불가']
베니키아 호텔 카카오,서울,영등포구,서울 영등포구 경인로108길 15,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
더 스테이트 선유 호텔,서울,영등포구,서울 영등포구 양평로 132,['반려동물 동반 불가']
베니키아 프리미어 여의도 호텔,서울,영등포구,서울 영등포구 신길제1동 영등포로 389,['반려동물 동반 불가']
호텔지엠에스,서울,영등포구,서울 영등포구 경인로 867,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
영등포 VIP호텔,서울,영등포구,서울 영등포구 경인로114나길 6,['반려동물 동반 불가']
호텔 샤토,서울,영등포구,서울 영등포구 선유로 100,['반려동물 동반 불가']
호텔 조커,서울,영등포구,서울 영등포구 양산로1길 3-1,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
글래드 여의도,서울,영등포구,서울 영등포구 의사당대로 16,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
영등포 호텔 브릿지,서울,영등포구,서울 영등포구 영등포로 9,['반려동물 동반 불가']
호텔 로프트,서울,영등포구,서울 영등포구 선유동2로 72,['반려동물 동반 불가']
콘래드 서울,서울,영등포구,서울 영등포구 국제금융로 10,"['반려동물 동반 가능(반려견만 허용, 객실당 2마리, 1마리당 최대 15 kg)*', '장애인 안내 동물 동반 가능', '특정 객실만, 제한 사항 적용*', '먹이/물 그릇 이용 가능']"
코트야드 바이 메리어트 서울 타임스퀘어,서울,영등포구,서울 영등포구 영중로 15,['반려동물 동반 불가']
메리어트 이그제큐티브 아파트먼트 서울,서울,영등포구,서울 영등포구 여의대로 8,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
켄싱턴호텔 여의도,서울,영등포구,서울 영등포구 국회대로76길 16,['반려동물 동반 불가']
독산 Si호텔,경남,창원시,경남 창원시 진해구 신항로 434-1,['반려동물 동반 불가']
스타즈호텔 독산점,서울,금천구,서울 금천구 시흥대로 315,['반려동물 동반 불가']
골든 리버 호텔,서울,금천구,서울 금천구 서부샛길 584,['반려동물 동반 불가']
마인드 호텔,서울,금천구,서울 금천구 남부순환로 1262,['반려동물 동반 불가']
이사벨 호텔,서울,금천구,서울 금천구 가산로 50,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
컬리넌 구로 호텔,서울,구로구,서울 구로구 시흥대로 533,['반려동물 동반 불가']
라마다 서울 신도림 호텔,서울,구로구,서울 구로구 경인로 624,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
코코모 호텔,서울,구로구,서울 구로구 새말로 20,['반려동물 동반 불가']
호텔 베르누이 서울,서울,구로구,서울 구로구 경인로 229,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
롯데시티호텔 구로,서울,구로구,서울 구로구 디지털로 300,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
"포 포인츠 바이 쉐라톤 서울, 구로",서울,구로구,서울 구로구 디지털로32길 72,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
로얄스퀘어호텔서울,서울,강서구,서울 강서구 공항대로 30,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
코트야드 바이 메리어트 서울 보타닉 파크,서울,강서구,서울 강서구 마곡중앙12로 10,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔 엠펠리체,서울,강서구,서울특별시 강서구 마곡동로4길 15,['반려동물 동반 불가']
JK 블라썸 호텔,서울,강서구,서울 강서구 양천로65길 41-22,['반려동물 동반 불가']
라이프스타일 S 호텔,서울,강서구,서울 강서구 곰달래로 108,['반려동물 동반 불가']
호텔 디아만트,서울,강서구,서울 강서구 남부순환로 190,['반려동물 동반 불가']
화곡해담채,서울,강서구,서울 강서구 곰달래로 70-1,['반려동물 동반 불가']
호텔 티제이,서울,강서구,서울 강서구 남부순환로 196,['반려동물 동반 불가']
SR 호텔 서울 마곡,서울,강서구,서울특별시 강서구 강서로 400,['반려동물 동반 불가']
스탠다드 호텔,서울,강서구,서울 강서구 공항대로 518,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
베니키아 서울 관광 호텔,서울,강서구,서울 강서구 화곡로68길 116,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
메이필드호텔 서울,서울,강서구,서울 강서구 방화대로 94,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
롯데시티호텔 김포공항,서울,강서구,서울 강서구 하늘길 38,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔 드 어반,서울,강서구,서울 강서구 곰달래로24길 35,['반려동물 동반 불가']
골든서울호텔,서울,강서구,서울 강서구 공항대로 663,['반려동물 동반 불가']
보보호텔,서울,마포구,서울 마포구 양화로 94,['반려동물 동반 불가']
"홀리데이 인 익스프레스 서울 홍대, IHG 호텔",서울,마포구,서울 마포구 양화로 188,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
L7 홍대 바이 롯데,서울,마포구,서울 마포구 양화로 141,['반려동물 동반 불가']
글래드 마포,서울,마포구,서울 마포구 마포대로 92,['반려동물 동반 불가']
