LDGS_NM,CTPRVN_NM,GUGUN_NM,LDGS_ADDR,PET_INFO_CN
토모노야 료칸,경남,거제시,경남 거제시 동부면 거제중앙로 42,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔스카이파크 명동1호점,서울,중구,서울 중구 명동8나길 15,['반려동물 동반 불가']
스탠포드호텔 명동,서울,중구,서울 중구 남대문로 84,['반려동물 동반 불가']
하이원 콘도,강원,정선군,강원 정선군 고한읍 하이원길 265-1,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
웰리힐리파크,강원,횡성군,강원 횡성군 둔내면 고원로 451,['반려동물 동반 불가']
용평리조트 드래곤밸리호텔,강원,평창군,강원 평창군 대관령면 올림픽로 715,['반려동물 동반 불가']
소노벨 경주,경북,경주시,경북 경주시 보문로 402-12,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
켄싱턴리조트 제주한림,제주,제주시,제주특별자치도 제주시 한림읍 귀덕리 3861,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
켄싱턴호텔 평창,강원,평창군,강원 평창군 진부면 간평리 221-1,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
"포 포인츠 바이 쉐라톤 조선, 서울 명동",서울,중구,서울 중구 삼일대로10길 36,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
속초 라마다호텔,강원,속초시,강원 속초시 대포항희망길 106,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔더블루테라,강원,속초시,강원 속초시 조양동 1493-7,['반려동물 동반 불가']
속초 마리나베이 호텔,강원,속초시,강원 속초시 청초호반로 28,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
리센 오션파크 속초,강원,속초시,강원 속초시 해오름로 167,['반려동물 동반 불가']
월드스카이호텔,강원,속초시,강원 속초시 청학동 482-524,['반려동물 동반 불가']
어반스테이 속초해변,강원,속초시,강원 속초시 조양동 1450-6,['반려동물 동반 불가']
썬라이즈 호텔,강원,속초시,강원 속초시 청초호반로 291,['반려동물 동반 불가']
체스터톤스 속초,강원,속초시,강원 속초시 엑스포로 109,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
씨 크루즈 호텔,강원,속초시,강원 속초시 청초호반로 273,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
어반스테이 속초등대,강원,속초시,강원 속초시 영랑동 148-45,['반려동물 동반 불가']
헤븐마크 인 속초,강원,속초시,강원 속초시 영랑해안8길 11,['반려동물 동반 불가']
오션힐 호텔 드림 여수,전남,여수시,전남 여수시 돌산읍 강남해안로 81,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
아난티 힐튼 부산,부산,기장군,부산 기장군 기장읍 기장해안로 268-32,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
바비엥 스위트 2 서비스드 레지던스,서울,중구,서울 중구 통일로 114,['반려동물 동반 불가']
그랜드 호텔,대구,수성구,대구 수성구 동대구로 305,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
한화리조트 경주,경북,경주시,경북 경주시 보문로 182-27,['반려동물 동반 불가']
스타즈 호텔 울산,울산,남구,울산 남구 남중로 65,['반려동물 동반 불가']
휘닉스 평창 리조트,강원,평창군,강원 평창군 봉평면 태기로 174,"['반려동물 동반 가능(반려견과 반려묘만 허용, 객실당 1마리, 1마리당 최대 25 kg)*', '장애인 안내 동물 동반 가능', '특정 객실만, 제한 사항 적용*', '반려동물 감독 필수', '먹이/물 그릇 이용 가능']"
오크밸리 리조트,강원,원주시,강원 원주시 지정면 오크밸리1길 66,['반려동물 동반 불가']
비발디 파크,강원,홍천군,강원 홍천군 서면 한치골길 264,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
켄싱턴리조트 서귀포,제주,서귀포시,제주특별자치도 서귀포시 이어도로 684,['반려동물 동반 불가']
서귀포 에띠에 리조트,제주,서귀포시,제주특별자치도 서귀포시 이어도로 738,['반려동물 동반 불가']
스위트메이 서귀포,제주,서귀포시,제주특별자치도 서귀포시 김정문화로27번길 9-1,['반려동물 동반 불가']
서귀포 JS 호텔,제주,서귀포시,제주 서귀포시 김정문화로 51,['반려동물 동반 불가']
중문시티호텔,제주,서귀포시,제주특별자치도 서귀포시 천제연로188번길 11,['반려동물 동반 불가']
서귀포 중문 제이힐&시티 호텔,제주,서귀포시,제주특별자치도 서귀포시 천제연로188번길 11,['반려동물 동반 불가']
아루미 호텔,제주,서귀포시,제주특별자치도 서귀포시 색달중앙로 38,['반려동물 동반 불가']
중문 리조트,제주,서귀포시,제주특별자치도 서귀포시 색달로 117,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
서귀포 썬라이즈호텔 중문점,제주,서귀포시,제주특별자치도 서귀포시 중문관광로 310,['반려동물 동반 불가']
제주 웨스턴 그레이스 호텔,제주,서귀포시,제주특별자치도 서귀포시 김정문화로27번길 9-7,"['반려동물 동반 가능(반려견만 허용)', '먹이/물 그릇, 반려동물용 변기 이용 가능']"
호텔 스테이 인터뷰 제주,제주,서귀포시,제주특별자치도 서귀포시 중문관광로 288,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
제이뷰호텔,제주,서귀포시,제주특별자치도 서귀포시 중산간서로 935,['반려동물 동반 불가']
키코앤일레인 호텔,제주,서귀포시,제주특별자치도 서귀포시 일주서로 660,['반려동물 동반 불가']
베스트웨스턴플러스 경주,경북,경주시,경북 경주시 감포읍 동해안로 1819-21,['반려동물 동반 불가']
켄싱턴리조트 경주,경북,경주시,경북 경주시 보문로 182-29,['반려동물 동반 불가']
해운대 씨클라우드 호텔 레지던스,부산,해운대구,부산 해운대구 해운대해변로 287,['반려동물 동반 불가']
곤지암리조트,경기,광주시,경기 광주시 도척면 도척윗로 278,['반려동물 동반 불가']
제주 마레보리조트,제주,제주시,제주특별자치도 제주시 애월읍 신엄안3길 135,['반려동물 동반 불가']
돔베리조트,제주,서귀포시,제주특별자치도 서귀포시 호근동 1591,['반려동물 동반 불가']
포트에비뉴,제주,서귀포시,제주특별자치도 서귀포시 대포동서로 63-19,['반려동물 동반 불가']
파밀리아호텔 제주,제주,서귀포시,제주특별자치도 서귀포시 대포동서로 63-20,['반려동물 동반 불가']
힐튼 가든 인 서울 강남,서울,서초구,서울 서초구 강남대로 253,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
신신호텔 서귀포,제주,서귀포시,제주특별자치도 서귀포시 태평로371번길 18,['반려동물 동반 불가']
호텔 에어시티 제주,제주,제주시,제주특별자치도 제주시 삼무로 56,['반려동물 동반 불가']
호텔 레오,제주,제주시,제주특별자치도 제주시 삼무로 14,['반려동물 동반 불가']
호텔 앨리스 앤 트렁크,제주,제주시,제주특별자치도 제주시 연동12길 4,['반려동물 동반 불가']
헨나 호텔 서울 명동,서울,중구,서울 중구 명동8가길 59,['반려동물 동반 불가']
부산 서면 프렌치코드,부산,부산진구,부산 부산진구 황령대로8번길 8,['반려동물 동반 불가']
호텔 리순덕,부산,부산진구,부산 부산진구 범천동 황령대로7번길 26,['반려동물 동반 불가']
브라운도트 서면범천점,부산,부산진구,부산 부산진구 황령대로7번길 20-11,['반려동물 동반 불가']
하운드호텔 서면범천점,부산,부산진구,부산 부산진구 황령대로7번길 10,['반려동물 동반 불가']
ENA 스위트 호텔 남대문,서울,중구,서울 중구 세종대로11길 36,['반려동물 동반 불가']
사당 카리스호텔,서울,관악구,서울 관악구 승방2길 31,['반려동물 동반 불가']
사당 티트리호텔 사당점,서울,관악구,서울 관악구 남현동 602-15,['반려동물 동반 불가']
센트럴파크 호텔 부산,부산,중구,부산 중구 해관로 20,['반려동물 동반 불가']
호텔 리버사이드,울산,중구,울산 중구 젊음의거리 20,['반려동물 동반 불가']
경산 더 베스트,경북,경산시,경북 경산시 경산로40길 3-8,['반려동물 동반 불가']
메르씨엘 호텔,부산,해운대구,부산 해운대구 해운대로 620,['반려동물 동반 불가']
그랜드 조선 부산,부산,해운대구,부산 해운대구 해운대해변로 292,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
라이즈 오토그래프 컬렉션 서울 바이 메리어트,서울,마포구,서울 마포구 양화로 130,"['반려동물 동반 가능(반려견과 반려묘만 허용, 객실당 2마리)*', '장애인 안내 동물 동반 가능', '제한 사항 적용*', '반려동물 감독 필수', '먹이/물 그릇, 반려동물용 변기 이용 가능']"
머큐어 앰배서더 서울 홍대,서울,마포구,서울 마포구 양화로 144,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
창원 진해 호텔 투하트,경남,창원시,경남 창원시 진해구 충장로364번길 5-5,['반려동물 동반 불가']
창원 진해 더그레이70,경남,창원시,경남 창원시 진해구 충장로364번길 5-9,['반려동물 동반 불가']
창원 진해 올리브,경남,창원시,경남 창원시 진해구 진해대로 855,['반려동물 동반 불가']
진해 호텔 파스타,경남,창원시,경남 창원시 마산합포구 구산면 로봇랜드로 250,['반려동물 동반 불가']
창원 진해 38.5c,경남,창원시,경남 창원시 진해구 진희로 142,['반려동물 동반 불가']
루이스 부티크 호텔,경남,창원시,경남 창원시 진해구 속천로 8-8,['반려동물 동반 불가']
구미 봉곡동 Hotel 컨티뉴 구미점,경북,구미시,경북 구미시 봉곡로12길 9-5,['반려동물 동반 불가']
노떼 라 미아,부산,동구,부산 동구 대영로 265,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
하운드 프리미어 남포,부산,중구,부산 중구 보수대로 24,['반려동물 동반 불가']
속초 컨피네스 비치 호텔,강원,속초시,강원 속초시 해오름로 171,['반려동물 동반 불가']
모옌호텔,강원,속초시,강원 속초시 청초호반로 52,['반려동물 동반 불가']
속초 느낌,강원,속초시,강원 속초시 온천로 313,['반려동물 동반 가능']
호텔 아마란스,강원,속초시,강원 속초시 온천로 55,['반려동물 동반 불가']
신라스테이 서부산,부산,강서구,부산 강서구 명지국제7로 38,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
오이아호텔,부산,강서구,부산 강서구 명지국제6로1번길 24,['반려동물 동반 불가']
신화 제주신화월드 호텔앤리조트,제주,서귀포시,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
호텔 토스카나,제주,서귀포시,제주특별자치도 서귀포시 용흥로66번길 158-7,['반려동물 동반 불가']
골드원 호텔 & 스위트,제주,서귀포시,제주특별자치도 서귀포시 이어도로 1032,['반려동물 동반 불가']
호텔 빠레브,제주,서귀포시,제주특별자치도 서귀포시 김정문화로 15,['반려동물 동반 불가']
아리아 호텔,제주,서귀포시,제주특별자치도 서귀포시 중문관광로 23-1,['반려동물 동반 불가']
유어스 호텔,제주,서귀포시,제주특별자치도 서귀포시 천제연로178번길 21,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
베니키아 중문호텔,제주,서귀포시,제주특별자치도 서귀포시 천제연로 166,['반려동물 동반 불가']
에이본 호텔,전북,군산시,전북 군산시 해망로 10,['반려동물 동반 불가']
